     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
331  2017                 Latin  0.000631         0.000122  0.000175         0.000144  0.000178  0.000134
332  2017             Norwegian  0.000657         0.000120  0.000184         0.000141  0.000175  0.000130
333  2017            Portuguese  0.000621         0.000123  0.000174         0.000145  0.000176  0.000135
334  2017               Spanish  0.000597         0.000126  0.000176         0.000146  0.000176  0.000136
335  2017               Swedish  0.000655         0.000122  0.000176         0.000145  0.000178  0.000133
336  2017                 Welsh  0.001369         0.000108  0.000261         0.000145  0.000192  0.000118
337  2018               Catalan  0.000596         0.000125  0.000175         0.000146  0.000176  0.000134
338  2018               Chinese  0.000623         0.000123  0.000176         0.000143  0.000176  0.000134
339  2018                 Dutch  0.000649         0.000121  0.000175         0.000144  0.000177  0.000133
340  2018               English  0.000641         0.000126  0.000178         0.000148  0.000178  0.000137
341  2018             Esperanto  0.000607         0.000124  0.000176         0.000144  0.000176  0.000133
342  2018               Finnish  0.000640         0.000122  0.000176         0.000145  0.000176  0.000134
343  2018                French  0.000597         0.000126  0.000175         0.000147  0.000177  0.000137
344  2018                German  0.000650         0.000121  0.000175         0.000145  0.000176  0.000133
